"","ID","time","PEG-9 (mol/L)","PEG-8 (mol/L)","PEG-7 (mol/L)","PEG-6 (mol/L)","PEG-5 (mol/L)","PEG-4 (mol/L)","PEG-3 (mol/L)","DEG (mol/L)","EG (mol/L)","Acetaldehyde (mol/L)","Acetate (mol/L)","CH4 (mol-gas)"
"798",10,57,5.7638608304038e-09,3.0237558056792e-07,4.65483359751538e-06,3.49944209333607e-05,0.000135619624491924,0.00026255910407389,0.00029363160767471,0.00255036373897148,0.000220423911288323,8.96218992552782e-05,1.93258488927291e-05,1284999.54768937
"799",10,58,3.22529566520625e-09,1.64857542114983e-07,2.49942815029123e-06,1.89315023076965e-05,7.94362250606673e-05,0.000179798754641306,0.000232802559714991,0.00250569792470381,0.000171544031966468,6.80428350586582e-05,1.74563259503045e-05,1298342.08706825
"800",10,59,1.80326699926659e-09,8.98211980365283e-08,1.33974187167885e-06,1.01140079818523e-05,4.42778046925284e-05,0.000112534307966435,0.000168027646775006,0.00242477065823152,0.000125081377631095,4.81864833087793e-05,1.55790453899805e-05,1310867.92518925
"801",10,60,1.0077763106678e-09,4.89287161730528e-08,7.17714724667444e-07,5.36927048823247e-06,2.392413001987e-05,6.5419229546106e-05,0.000109822844185286,0.00230534547164027,8.45554473469593e-05,3.15536338955161e-05,1.38073585827648e-05,1322579.88513568
"802",10,61,5.63160353017851e-10,2.6658285976316e-08,3.84559429173511e-07,2.84290494547305e-06,1.27054544059019e-05,3.61217928765575e-05,6.57565300297147e-05,0.00215309238454681,5.28805011796183e-05,1.91409936883499e-05,1.2253788990324e-05,1333522.291767
"803",10,62,3.14757706289277e-10,1.45314353068894e-08,2.06189543974188e-07,1.50443678876661e-06,6.69121143948446e-06,1.93376693542841e-05,3.69109156434347e-05,0.00197996168731757,3.08858256572181e-05,1.09063298031768e-05,1.09746179269608e-05,1343773.03961437
"804",10,63,1.75983605112507e-10,7.92639093128835e-09,1.10659490290081e-07,7.96615849152903e-07,3.51247889287545e-06,1.01860301466983e-05,1.9901251480788e-05,0.0017989885005712,1.71475249186678e-05,5.95351151294976e-06,9.95091319900714e-06,1353421.08621462
"805",10,64,9.84385190009762e-11,4.32696600761285e-09,5.94568116558955e-08,4.22329366025304e-07,1.84302529503195e-06,5.32709034537045e-06,1.04997525684581e-05,0.00162028478197549,9.21981598683249e-06,3.16979099543797e-06,9.12169247833342e-06,1362545.52856167
"806",10,65,5.50909893912276e-11,2.36407506736399e-09,3.19848032054538e-08,2.24240791922537e-07,9.6802740574022e-07,2.77995863637286e-06,5.48461361530232e-06,0.00145012132420815,4.87142686824783e-06,1.66680923853056e-06,8.42519331949341e-06,1371207.42705878
"807",10,66,3.08483885444331e-11,1.29278033376771e-09,1.72279498891024e-08,1.19262013053303e-07,5.09325005844245e-07,1.45139507704671e-06,2.85525957572351e-06,0.00129175198056829,2.55333389357926e-06,8.72126981818558e-07,7.81718199076546e-06,1379451.69972521
"808",10,67,1.72833521166911e-11,7.07591543837283e-10,9.29136251118105e-09,6.3538883393454e-08,2.68532789168654e-07,7.59087274600121e-07,1.48651793342414e-06,0.001146508490961,1.33485278497131e-06,4.55896603895372e-07,7.27096836692627e-06,1387312.13214698
"809",10,68,9.68881582410157e-12,3.87650003316947e-10,5.01745389535524e-09,3.39104145204458e-08,1.41889847334788e-07,3.97934933079474e-07,7.75264360289974e-07,0.00101461510461938,6.98040027567021e-07,2.38579717091398e-07,6.77175872699609e-06,1394815.67124269
"810",10,69,5.43453550825691e-12,2.12568523225577e-10,2.71296879164749e-09,1.81292046431295e-08,7.51396603641632e-08,2.09144443200007e-07,4.05334846417245e-07,0.000895691150188282,3.65649313061785e-07,1.25112671988497e-07,6.31156271285498e-06,1401985.19308733
"811",10,70,3.05002906833837e-12,1.16670680578406e-10,1.46879522854997e-09,9.70884392931364e-09,3.987872163628e-08,1.10208824055618e-07,2.12514498826099e-07,0.000789039343183884,1.91984799473227e-07,6.57730906236172e-08,5.88591805713379e-06,1408841.06993554
"812",10,72.5,7.21526313500851e-13,2.61450772250532e-11,3.18535977109316e-10,2.05264182890448e-09,8.25948119017263e-09,2.24631521874774e-08,4.2823776879141e-08,0.00057036967864118,3.87914944577763e-08,1.33315322523998e-08,4.95651257929696e-06,1424728.19397628
"813",10,75,1.7130207531232e-13,5.89322191834517e-12,6.96216648794655e-11,4.38364100504365e-10,1.73223263439936e-09,4.64688621422511e-09,8.77346178526016e-09,0.000408826875372027,7.96433673311619e-09,2.74478717479157e-09,4.19706091578844e-06,1439029.44148308
"814",10,77.5,4.08161615652838e-14,1.3361353511055e-12,1.53339975563313e-11,9.45239394595183e-11,3.67554816372308e-10,9.74330506645792e-10,1.82440007230556e-09,0.000291240115940489,1.65923707185831e-09,5.73219870016829e-10,3.58133037823506e-06,1451967.88847346
"815",10,80,9.76016227163119e-15,3.04704243629827e-13,3.4027308072373e-12,2.05711292843575e-11,7.88442369732679e-11,2.06826447208811e-10,3.84501141231893e-10,0.000206571250279495,3.50282142526875e-10,1.21268774386671e-10,3.08350175866109e-06,1463732.71215877
