"","ID","time","Guar Gum (g/L)","AVG PEG MW (g/mol)","CH4 (mol-gas)","H2 (mol-gas)","CO2 (mol-gas)","Methanol (mol/L)","Isopropanol (mol/L)"
"141",2,56,0.819447705628021,106.041380324696,1551471.64621188,219665.688865093,899743.477389426,0.00141662158312366,0.0082441521863099
"142",2,57,0.787987975244466,106.022505055021,1557902.53454986,221946.57478488,903234.606855965,0.0012002045508606,0.00756328729146214
"143",2,58,0.757869602471443,106.012282231226,1563851.31857225,224168.260273417,906519.827538171,0.00101519715312179,0.00693278864141344
"144",2,59,0.729034185264138,106.006725743215,1569350.57390215,226325.414726663,909610.625866502,0.000857359571929956,0.00634965973630547
"145",2,60,0.701425844124287,106.003694861965,1574431.24619026,228414.218450011,912518.135794548,0.000722966613123094,0.00581100366772162
"146",2,61,0.674991113849544,106.002035962521,1579122.82576225,230432.294769841,915253.22377502,0.000608754417084115,0.00531402476506579
"147",2,62,0.649678839984153,106.001125047546,1583453.39509509,232378.527848,917826.476406568,0.000511871652650495,0.00485603118839101
"148",2,63,0.625440079765272,106.000623330713,1587449.62266274,234252.844598503,920248.150309626,0.000429834790661524,0.00443443800957527
"149",2,64,0.602228007367905,106.000346204653,1591136.74088639,236055.998360747,922528.113554612,0.000360487133226359,0.00404677028452229
"150",2,65,0.579997823259656,106.000192725173,1594538.52721866,237789.371726862,924675.792681786,0.000301961355647695,0.00369066570952937
"151",2,66,0.558706667484379,106.000107513865,1597677.29733277,239454.805642768,926700.131458557,0.000252645372165262,0.00336387657920838
"152",2,67,0.538313536701592,106.000060095987,1600573.91380874,241054.456551634,928609.563341541,0.000211151363570543,0.00306427088160945
"153",2,68,0.518779204815532,106.000033652796,1603247.81056996,242590.680526201,930411.997376289,0.000176287811675169,0.0027898324639167
"154",2,69,0.500066147034946,106.00001887715,1605717.03159538,244065.941888121,932114.816108483,0.000147034380839958,0.00253866027597197
"155",2,70,0.482138467211387,106.000010605746,1607998.28156608,245482.743157443,933724.883548805,0.000122519476969866,0.00230896675047788
"156",2,72.5,0.440533616839223,106.000002525131,1612977.29424612,248785.182962849,937384.834886048,7.73583860816352e-05,0.00181796520899312
"157",2,75,0.403129863273034,106.000000606004,1617083.89879546,251774.689311324,940590.331131156,4.86032586567519e-05,0.00142770521657839
"158",2,77.5,0.36948258699379,106.000000146444,1620487.05947559,254484.665024037,943412.10710182,3.04047504695355e-05,0.00111869841133723
"159",2,80,0.339194133871562,106.000000035607,1623322.266417,256944.459542497,945907.663656861,1.89482437292717e-05,0.000874843452118855
"160",2,82.5,0.311908966176253,106.000000008706,1625697.7846285,259179.659194061,948123.881906468,1.17694497894389e-05,0.000682965522875498
"161",2,85,0.287309310360493,106.00000000214,1627700.01239925,261212.617429738,950099.235592115,7.28935994049961e-06,0.000532372019585182
"162",2,90,0.245061203874701,106.000000000131,1630846.62704554,264748.237820444,953449.49648657,2.77617202243831e-06,0.000322278500875956
"163",2,95,0.21052394343171,106.000000000008,1633164.43435123,267684.077622161,956156.540697381,1.04951389518618e-06,0.000194346058964098
"164",2,100,0.182163420156076,106.000000000001,1634912.94282167,270127.243686524,958363.355277392,3.94683632780748e-07,0.000116878384009172
"165",3,0,8.673168,400.258258258258,0,0,0,0.2057265,0.1097208
"166",3,0.25,8.52439817534582,399.867571673232,385.389984417801,753.614373629074,628.540676248599,0.205722670175182,0.109719000441746
"167",3,0.5,8.37820415785835,399.469873666701,1571.93866256897,2705.25133918479,2386.64983186111,0.205698290676493,0.109707544908385
"168",3,1,8.09336589416056,398.653219799841,6087.5424093733,8938.22042739456,8480.10910410858,0.205532019026077,0.109629412231814
"169",3,2,7.55268740716189,396.933959729762,22677.7501606844,26160.0029409545,28136.5334067023,0.204514652657141,0.109151177772243
"170",3,3,7.04849204977459,395.099795493408,48397.9981591846,45830.8296653776,55346.1892187462,0.202403572374499,0.108157914972249
"171",3,4,6.5783175064361,393.153251410998,82564.7825624114,66080.7827525846,88792.9944544631,0.199145419304357,0.106622528872671
"172",3,5,6.13986761032872,391.100553428731,124317.263218013,85850.1778223695,127364.800909682,0.194783217323203,0.104562172072801
"173",3,6,5.73100112990798,388.951125544227,172164.559243884,103889.800245865,169389.544606081,0.189439137928287,0.102030547260018
"174",3,7,5.34972131212214,386.716490735062,223787.517214632,118558.742474733,212410.740018496,0.183324408853519,0.0991233879760927
"175",3,8,4.99416613126037,384.409056733102,276311.651310176,128307.345292188,253620.551447764,0.176734300413677,0.0959772584768264
"176",3,9,4.66259919581274,382.041072660874,327141.974001194,132620.9809226,290913.406897168,0.169998760172597,0.0927472365349268
"177",3,10,4.35340126894015,379.623882037044,374790.366555794,132474.975439741,323696.989904716,0.163399800279332,0.0895679109355888
"178",3,11,4.06506236114896,377.167485259354,418935.443481594,129640.398146141,352599.437841508,0.157113057706911,0.0865247719460418
"179",3,12,3.79617435656054,374.680346744609,459872.796751363,125657.850723166,378579.986642982,0.151209983508616,0.0836541389690259
"180",3,13,3.54542413677228,372.169360995418,498031.322856122,121433.143060978,402386.966411096,0.145696110461221,0.0809607093996517
"181",3,14,3.31158716873767,369.639914196497,533784.261803967,117367.350322887,424484.895513689,0.140547356562996,0.0784346675226475
"182",3,15,3.09352152535956,367.096001502891,567425.830938216,113592.75210781,445151.504255299,0.135730900787518,0.0760616731663409
"183",3,16,2.89016230960502,364.540372730949,599190.590192288,110128.93310486,464566.96408791,0.131214090924147,0.0738271931516307
"184",3,17,2.70051645492129,361.974687027078,629272.107849084,106956.928959441,482863.103508188,0.126967328409169,0.0717179470357247
"185",3,18,2.52365787657114,359.399663703186,657834.729448238,104048.444337735,500146.001736924,0.122964568040042,0.0697221944940691
"186",3,19,2.3587229502202,356.81522179369,685020.672573979,101375.864876766,516505.955077387,0.11918304378294,0.0678296383354321
"187",3,20,2.20490629570764,354.220604736231,710954.622277801,98915.108529666,532022.186611233,0.115602815561672,0.066031232322594
"188",3,21,2.06145684542982,351.614489074485,735746.970824826,96646.0270274797,546765.394065813,0.112206327746562,0.0643189882389643
"189",3,22,1.92767417810845,348.995077582924,759496.235517054,94552.0393283663,560799.332123679,0.10897802912634,0.0626858080318268
"190",3,23,1.80290510015165,346.360178048853,782290.921357195,92619.5754947514,574181.901198008,0.105904059268824,0.0611253446656041
"191",3,24,1.68654045780312,343.707269365736,804210.983302248,90837.5260973953,586965.948976741,0.102971993443372,0.0596318887923165
"192",3,25,1.57801216460544,341.03355675425,825328.989869206,89196.7581190271,599199.887984843,0.100170635870394,0.0582002769224255
"193",3,26,1.47679042965203,338.336017949565,845711.059876081,87689.709950008,610928.187336288,0.0974898517933347,0.0568258169515585
"194",3,27,1.38238117310281,335.611442143096,865417.624564153,86310.0606172531,622191.774261994,0.0949204304061351,0.0555042275158553
"195",3,28,1.29432361635484,332.856463391475,884504.053694157,85052.4627863511,633028.368410631,0.0924539722364033,0.0542315883183063
"196",3,29,1.21218803510935,330.067590133397,903021.174362334,83912.3281663566,643472.764363036,0.0900827959463459,0.05300429916516
"197",3,30,1.13557366436989,327.241232403137,921015.704072777,82885.6548271307,653557.073028115,0.0877998606236414,0.0518190459447616
"198",3,31,1.06410674514569,324.373728306468,938530.614274065,81968.887382247,663310.929454142,0.0855987005119281,0.0506727721746541
"199",3,32,0.997438703323171,321.461371331467,955605.436599841,81158.8024807179,672761.672465473,0.0834733698132862,0.0495626550508773
"200",3,33,0.935244451810249,318.500440095888,972276.521080239,80452.4133912143,681934.500058069,0.0814183957220336,0.0484860851723411
"201",3,34,0.877220807655526,315.487232165422,988577.253359309,79846.8886020821,690852.603444008,0.0794287382542862,0.0474406492975011
"202",3,35,0.82308501640078,312.418103575863,1004538.23629186,79339.4803170475,699537.281901613,0.0774997557484213,0.0464241156322835
"203",3,36,0.772573376443432,309.289515590537,1020187.44009727,78927.459553716,708008.040100688,0.0756271751488937,0.0454344212565458
"204",3,37,0.725439956667545,306.098089909999,1035550.32447456,78608.0553291121,716282.669315925,0.073807066365082,0.0444696613780038
"205",3,38,0.681455401050811,302.840672844085,1050649.935749,78378.3962500703,724377.313943623,0.0720358201283939,0.0435280801619388
"206",3,39,0.64040581437265,299.514407583924,1065506.98230867,78235.4538573645,732306.525072146,0.0703101288606094,0.0426080629243679
"207",3,40,0.602091723537383,296.116811293019,1080139.89245303,78175.9884832186,740083.3036484,0.0686269701161091,0.0417081294958792
"208",3,41,0.566327109388454,292.645849810877,1094564.86053104,78196.5003879388,747719.137197176,0.0669835921681595,0.0408269285611962
"209",3,42,0.532938504226885,289.099996928461,1108795.89012453,78293.1917439572,755224.036256471,0.0653775012698536,0.0399632327523344
"210",3,43,0.501764150561445,285.478257482277,1122844.8471361,78461.9486843125,762606.579752069,0.0638064500284843,0.0391159342173613
"211",3,44,0.472653216911196,281.780125137092,1136721.54063736,78698.3567319658,769873.982163686,0.0622684261887394,0.0382840403017168
"212",3,45,0.445465066754816,278.005440229521,1150433.8539074,78997.7661384894,777032.198485969,0.0607616409437561,0.0374666688739582
"213",3,46,0.420068576977005,274.154117313463,1163987.94926238,79355.423120944,784086.083341701,0.0592845157386787,0.0366630427318873
"214",3,47,0.396341502402406,270.225735529934,1177388.56309038,79766.6741829138,791039.614385739,0.0578356665099842,0.0358724824991329
"215",3,48,0.374169883228483,266.21903430133,1190639.38633063,80227.2290297091,797896.173217341,0.0564138845832057,0.0350943975602635
"216",3,49,0.353447492390751,262.131425131174,1203743.48854091,80733.4328235911,804658.848405662,0.0550181142020701,0.0343282749827979
"217",3,50,0.334075320073702,257.9586870098,1216703.69934566,81282.4612594114,811330.692385655,0.0536474279153742,0.0335736670625767
"218",3,51,0.315961092786356,253.695011692199,1229522.83230572,81872.3356189198,817914.845173627,0.0523010025217311,0.0328301789575646
"219",3,52,0.29901882458632,249.333477834942,1242203.65107634,82501.6845646151,824414.454304785,0.0509780993149039,0.0320974584876014
"220",3,53,0.283168398206763,244.866886040746,1254748.54654508,83169.2582712269,830832.378137708,0.0496780522403924,0.0313751901542535
"221",3,54,0.268335173994642,240.288752599983,1267158.99221152,83873.2965786963,837170.737035446,0.048400265957806,0.0306630945839879
"222",3,55,0.254449624724192,235.594199335335,1279434.92634807,84610.9169922422,843430.435901433,0.0471442231772258,0.0299609331590085
"223",3,56,0.241446994478247,230.780497664471,1291574.23814096,85377.6914796702,849610.796040963,0.0459094980237978,0.029268516128499
