"","ID","time","Acidogen Biomass (g/L)","Acetogen Biomass (g/L)","Methanogen Biomass (g/L)","Bacteroid Biomass (g/L)"
"1201",15,50,1.30535723948777,3.34059386049888,3.91242493841039,0.504882153910105
"1202",15,51,1.30804136908064,3.33873281712478,3.91119481758778,0.504409497588102
"1203",15,52,1.31051612206886,3.33671984738317,3.9097281869103,0.50391834868797
"1204",15,53,1.31279291336311,3.33458468827681,3.90805342810052,0.50341996554322
"1205",15,54,1.31488254002379,3.33234388874091,3.90619005710905,0.502918948595628
"1206",15,55,1.31679521425666,3.3300085703584,3.90415400067487,0.502417160663062
"1207",15,56,1.31854059461391,3.32758762206844,3.90195967000682,0.501915355885604
"1208",15,57,1.32012781550679,3.32508892139481,3.89962066141805,0.501413840418922
"1209",15,58,1.32156551512855,3.3225197604594,3.89714992061002,0.500912738926182
"1210",15,59,1.32286186188068,3.31988696757348,3.89455971992916,0.500412102228355
"1211",15,60,1.32402457938899,3.31719692239358,3.89186158892122,0.499911950962778
"1212",15,61,1.32506097019078,3.31445554269075,3.8890662518914,0.499412293372305
"1213",15,62,1.32597793816907,3.31166827196898,3.88618359024113,0.498913132587976
"1214",15,63,1.3267820098049,3.30884007727285,3.88322263238108,0.498414469624026
"1215",15,64,1.32747935431434,3.30597545850845,3.88019156797861,0.497916304614871
"1216",15,65,1.32807580273228,3.30307846756727,3.87709778122198,0.497418637328066
"1217",15,66,1.32857686600152,3.30015273463956,3.87394789752286,0.496921467377831
"1218",15,67,1.32898775212128,3.29720149910881,3.8707478386372,0.496424794314255
"1219",15,68,1.32931338240649,3.29422764278678,3.8675028820611,0.495928617660679
"1220",15,69,1.3295584069054,3.29123372372534,3.86421772149857,0.495432936929433
"1221",15,70,1.32972721902022,3.28822200930991,3.8608965260684,0.494937751628458
"1222",15,72.5,1.3298424965584,3.28062748848579,3.85245916093155,0.493701952643118
"1223",15,75,1.32956558593727,3.27295929594331,3.84386598600847,0.4924692392954
"1224",15,77.5,1.32894749377103,3.26523643219751,3.83515239315026,0.491239603881886
"1225",15,80,1.32803243512943,3.25747311951789,3.82634506794912,0.490013038717476
"1226",15,82.5,1.32685873259308,3.24968014690117,3.81746440883899,0.48878953613615
"1227",15,85,1.32545960181963,3.24186582661667,3.80852625231912,0.487569088491017
"1228",15,90,1.32209640745017,3.22619784732161,3.79052493468168,0.485137327517164
"1229",15,95,1.31813035524749,3.21050718836879,3.77241473079128,0.482717695001766
"1230",15,100,1.31370278152454,3.19481915862499,3.75424525632472,0.480310130453885
"1231",16,0,0.3,3,3.5,0.3
"1232",16,0.25,0.30183069256129,2.999648077847,3.49979858752899,0.3003748925221
"1233",16,0.5,0.306671741696972,3.00002823166715,3.5010836850257,0.300884827491076
"1234",16,1,0.322638317308234,3.0024789014948,3.50695558420378,0.302079667263523
"1235",16,2,0.371407612292557,3.01164623939447,3.52727778412634,0.304753226424792
"1236",16,3,0.434644864956914,3.02411188921537,3.55466216992355,0.307657842882089
"1237",16,4,0.504778093497815,3.03820086944846,3.58552098778407,0.310773773019133
"1238",16,5,0.574217882478077,3.05246921751587,3.6164438081424,0.314098184753288
"1239",16,6,0.637513259986753,3.06590206998008,3.64494826558996,0.317628148929161
"1240",16,7,0.693167681127953,3.07822092021197,3.6703071422907,0.321359791895691
"1241",16,8,0.742247132988072,3.08962193924063,3.69297122107241,0.325288562133142
"1242",16,9,0.786193739153318,3.10037004635451,3.71358487046548,0.329409574349128
"1243",16,10,0.82600922843759,3.11064757558741,3.7326005272214,0.333717882736814
"1244",16,11,0.862314480007415,3.12056563263575,3.75029817356638,0.338208655021176
